,Number,Label,Brand,Title,price,Review_Number,href,date
19,20,Exclusive,Hampton Bay,Mena 44 in. LED Indoor/Outdoor Matte White Ceiling Fan with Light Kit and Reversible Blades Included,$99.00,375,https://www.homedepot.com/p/Hampton-Bay-Mena-44-in-LED-Indoor-Outdoor-Matte-White-Ceiling-Fan-with-Light-Kit-and-Reversible-Blades-Included-92405/322702218,2024-07-11
20,21,Exclusive,Home Decorators Collection,Driskol 60 in. White Color Changing LED Matte Black Smart Ceiling Fan with Light Kit and Remote Powered by Hubspace,$199.00,128,https://www.homedepot.com/p/Home-Decorators-Collection-Driskol-60-in-White-Color-Changing-LED-Matte-Black-Smart-Ceiling-Fan-with-Light-Kit-and-Remote-Powered-by-Hubspace-56052/319830774,2024-07-11
21,22,Exclusive,Home Decorators Collection,Merwry 52 in. Integrated LED Indoor White Ceiling Fan with Light Kit and Remote Control,$114.00,5684,https://www.homedepot.com/p/Home-Decorators-Collection-Merwry-52-in-Integrated-LED-Indoor-White-Ceiling-Fan-with-Light-Kit-and-Remote-Control-SW1422WH/301231211,2024-07-11
22,23,Exclusive,Home Decorators Collection,Britton 52 in. Integrated LED Indoor Matte White Ceiling Fan with Light Kit and Remote Control,$129.00,489,https://www.homedepot.com/p/Home-Decorators-Collection-Britton-52-in-Integrated-LED-Indoor-Matte-White-Ceiling-Fan-with-Light-Kit-and-Remote-Control-SW19110-MWH/314459875,2024-07-11
23,24,,Hunter,Dempsey 44 in. Low Profile LED Indoor Fresh White Ceiling Fan with Universal Remote,,2147,https://www.homedepot.com/p/Hunter-Dempsey-44-in-Low-Profile-LED-Indoor-Fresh-White-Ceiling-Fan-with-Universal-Remote-59244/300241335,2024-07-11
24,25,Exclusive,Home Decorators Collection,Celene 62 in. LED Indoor/Outdoor Matte Black Ceiling Fan with Light and Remote Control with Color Changing Technology,$239.00,555,https://www.homedepot.com/p/Home-Decorators-Collection-Celene-62-in-LED-Indoor-Outdoor-Matte-Black-Ceiling-Fan-with-Light-and-Remote-Control-with-Color-Changing-Technology-YG908A-MBK/314459834,2024-07-11
25,26,Top Rated,Home Decorators Collection,Merwry 48 in. Integrated LED Indoor Matte Black Ceiling Fan with Light Kit and Remote Control,$119.00,4781,https://www.homedepot.com/p/Home-Decorators-Collection-Merwry-48-in-Integrated-LED-Indoor-Matte-Black-Ceiling-Fan-with-Light-Kit-and-Remote-Control-SW1422-48in-MBK/314459861,2024-07-11
26,27,,Hampton Bay,"Rothley II 52 in. Indoor LED Bronze Ceiling Fan with Light Kit, Downrod, Reversible Motor and Reversible Blades",$82.97,1847,https://www.homedepot.com/p/Hampton-Bay-Rothley-II-52-in-Indoor-LED-Bronze-Ceiling-Fan-with-Light-Kit-Downrod-Reversible-Motor-and-Reversible-Blades-52051/311183306,2024-07-11
27,28,,Hunter,Windsail 60 in. Integrated LED Indoor/Outdoor Matte Black Ceiling Fan with Remote Included,$279.00,29,https://www.homedepot.com/p/Hunter-Windsail-60-in-Integrated-LED-Indoor-Outdoor-Matte-Black-Ceiling-Fan-with-Remote-Included-52636/326944235,2024-07-11
28,29,Exclusive,Hampton Bay,"Rockport 52 in. Indoor LED Brushed Nickel Ceiling Fan with Light Kit, Downrod, Reversible Blades and Reversible Motor",$94.97,3309,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-Indoor-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-Downrod-Reversible-Blades-and-Reversible-Motor-51750/301136112,2024-07-11
29,30,Exclusive,Hampton Bay,Averly 52 in. Indoor Matte Black Ceiling Fan with Adjustable White Integrated LED with Remote Control Included,$159.00,513,https://www.homedepot.com/p/Hampton-Bay-Averly-52-in-Indoor-Matte-Black-Ceiling-Fan-with-Adjustable-White-Integrated-LED-with-Remote-Control-Included-AK18B-MBK/312270317,2024-07-11
30,31,Top Rated,Home Decorators Collection,Merwry 52 in. Intergrated LED Matte White Ceiling Fan With Light And Remote Control,$139.00,4781,https://www.homedepot.com/p/Home-Decorators-Collection-Merwry-52-in-Intergrated-LED-Matte-White-Ceiling-Fan-With-Light-And-Remote-Control-SW1422-MWH/324339720,2024-07-11
31,32,Exclusive,Hampton Bay,Sidlow 52 in. Indoor LED Brushed Nickel Hugger Dry Rated Ceiling Fan with 5 QuickInstall Reversible Blades and Light Kit,$87.97,383,https://www.homedepot.com/p/Hampton-Bay-Sidlow-52-in-Indoor-LED-Brushed-Nickel-Hugger-Dry-Rated-Ceiling-Fan-with-5-QuickInstall-Reversible-Blades-and-Light-Kit-52151/314459957,2024-07-11
32,33,Exclusive,Hunter,Oakhurst 52 in. LED Indoor Low Profile New Bronze Ceiling Fan with Light Kit,$114.00,2512,https://www.homedepot.com/p/Hunter-Oakhurst-52-in-LED-Indoor-Low-Profile-New-Bronze-Ceiling-Fan-with-Light-Kit-52016/300593306,2024-07-11
33,34,Exclusive,Home Decorators Collection,"Palm Cove 52 in. Indoor/Outdoor LED Natural Iron Ceiling Fan with Light Kit, Downrod and Reversible Motor",$159.00,1578,https://www.homedepot.com/p/Home-Decorators-Collection-Palm-Cove-52-in-Indoor-Outdoor-LED-Natural-Iron-Ceiling-Fan-with-Light-Kit-Downrod-and-Reversible-Motor-51422/301161708,2024-07-11
34,35,Exclusive,Hampton Bay,Hawkspur 52 in. Indoor/Outdoor Matte Black Low Profile Ceiling Fan with Adjustable White LED with Remote Included,$159.00,183,https://www.homedepot.com/p/Hampton-Bay-Hawkspur-52-in-Indoor-Outdoor-Matte-Black-Low-Profile-Ceiling-Fan-with-Adjustable-White-LED-with-Remote-Included-AK424-MBK/322921137,2024-07-11
35,36,Top Rated,Home Decorators Collection,Mercer 52 in. LED Indoor Brushed Nickel Ceiling Fan with Light Kit and Remote Control,$149.00,2497,https://www.homedepot.com/p/Home-Decorators-Collection-Mercer-52-in-LED-Indoor-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-and-Remote-Control-54725/300654436,2024-07-11
36,37,Exclusive,Home Decorators Collection,Ashby Park 44 in. White Color Changing Integrated LED Brushed Nickel Ceiling Fan with Light Kit and 3 Reversible Blades,$124.00,1213,https://www.homedepot.com/p/Home-Decorators-Collection-Ashby-Park-44-in-White-Color-Changing-Integrated-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-and-3-Reversible-Blades-59244/308038103,2024-07-11
37,38,,,Clarkston II 44 in. LED Indoor Brushed Nickel Ceiling Fan with Light Kit,$76.97,2645,https://www.homedepot.com/p/Clarkston-II-44-in-LED-Indoor-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-SW18030-BN/307737820,2024-07-11
38,39,Exclusive,Hampton Bay,Madison 52 in. Indoor Brushed Nickel Ceiling Fan with Adjustable White Integrated LED with Remote Included,$164.00,541,https://www.homedepot.com/p/Hampton-Bay-Madison-52-in-Indoor-Brushed-Nickel-Ceiling-Fan-with-Adjustable-White-Integrated-LED-with-Remote-Included-AK30A-BN/312406541,2024-07-11
39,40,,,Brookhurst 52 in. LED Indoor White Ceiling Fan with Light Kit,$89.97,1795,https://www.homedepot.com/p/Brookhurst-52-in-LED-Indoor-White-Ceiling-Fan-with-Light-Kit-YG268-WH/300937523,2024-07-11
40,41,Exclusive,Hunter,Channing 54 in. Hunter Express Indoor Noble Bronze Ceiling Fan with Remote and Light Kit Included,$169.00,2708,https://www.homedepot.com/p/Hunter-Channing-54-in-Hunter-Express-Indoor-Noble-Bronze-Ceiling-Fan-with-Remote-and-Light-Kit-Included-53366/304357284,2024-07-11
41,42,,Oaks Aura,20in. LED Indoor Black Bladeless Low Profile Ceiling Fan Flush Mount Smart App Remote Control Dimmable Lighting,$92.04,114,https://www.homedepot.com/p/Oaks-Aura-20in-LED-Indoor-Black-Bladeless-Low-Profile-Ceiling-Fan-Flush-Mount-Smart-App-Remote-Control-Dimmable-Lighting-DC2002/324024365,2024-07-11
42,43,Exclusive,Home Decorators Collection,Levanto 52 in. LED Indoor/Outdoor Matte Black Ceiling Fan with Light,$159.00,313,https://www.homedepot.com/p/Home-Decorators-Collection-Levanto-52-in-LED-Indoor-Outdoor-Matte-Black-Ceiling-Fan-with-Light-34603/314460002,2024-07-11
43,44,Exclusive,Hampton Bay,"Southwind II 52 in. Indoor LED Brushed Nickel Ceiling Fan with Light Kit, Reversible Blades and Remote Control",$114.00,1081,https://www.homedepot.com/p/Hampton-Bay-Southwind-II-52-in-Indoor-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-Reversible-Blades-and-Remote-Control-50279/312094756,2024-07-11
44,45,Top Rated,Hampton Bay,Caprice 52 in. Integrated LED Indoor Matte White Ceiling Fan with Light Kit and Remote Control,$125.00,420,https://www.homedepot.com/p/Hampton-Bay-Caprice-52-in-Integrated-LED-Indoor-Matte-White-Ceiling-Fan-with-Light-Kit-and-Remote-Control-SW19151R-MWH/314459864,2024-07-11
45,46,Exclusive,Hampton Bay,"Rockport II 52 in. Indoor Matte Black LED Ceiling Fan with Light kit, Downrod and Reversible Blades Included",$94.97,113,https://www.homedepot.com/p/Hampton-Bay-Rockport-II-52-in-Indoor-Matte-Black-LED-Ceiling-Fan-with-Light-kit-Downrod-and-Reversible-Blades-Included-92365/322983527,2024-07-11
46,47,Top Rated,Hunter,Cavera II 52 in. Indoor Matte Nickel Wifi-Enabled Smart Ceiling Fan with Light Kit & Remote,$171.75,995,https://www.homedepot.com/p/Hunter-Cavera-II-52-in-Indoor-Matte-Nickel-Wifi-Enabled-Smart-Ceiling-Fan-with-Light-Kit-Remote-50478/311956696,2024-07-11
47,48,Top Rated,Home Decorators Collection,Merwry 52 in. Integrated LED Indoor Brushed Nickel Ceiling Fan with Light Kit and Remote Control,$139.00,5691,https://www.homedepot.com/p/Home-Decorators-Collection-Merwry-52-in-Integrated-LED-Indoor-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-and-Remote-Control-SW1422BN/301231210,2024-07-11
48,49,Exclusive,Home Decorators Collection,Heritage Point 25 in. Indoor/Outdoor Matte Black Fandelier Ceiling Fan with Adjustable White LED with Remote Included,$209.00,383,https://www.homedepot.com/p/Home-Decorators-Collection-Heritage-Point-25-in-Indoor-Outdoor-Matte-Black-Fandelier-Ceiling-Fan-with-Adjustable-White-LED-with-Remote-Included-AM909A-MBK/322246411,2024-07-11
49,50,,Home Decorators Collection,Ellard 52 in. LED Indoor Matte Black Ceiling Fan with Light,$149.00,966,https://www.homedepot.com/p/Home-Decorators-Collection-Ellard-52-in-LED-Indoor-Matte-Black-Ceiling-Fan-with-Light-YG629A-MBK/306747888,2024-07-11
50,51,Exclusive,Hampton Bay,Zandra II 52 in. Smart Indoor/Outdoor Matte Black Ceiling Fan with Light Kit and Remote Included powered by Hubspace,$199.99,8,https://www.homedepot.com/p/Hampton-Bay-Zandra-II-52-in-Smart-Indoor-Outdoor-Matte-Black-Ceiling-Fan-with-Light-Kit-and-Remote-Included-powered-by-Hubspace-92482/328301421,2024-07-11
51,52,,MINKA-AIRE,Light Wave 52 in. Integrated LED Indoor Distressed Koa Ceiling Fan with Light with Remote Control,$359.95,313,https://www.homedepot.com/p/MINKA-AIRE-Light-Wave-52-in-Integrated-LED-Indoor-Distressed-Koa-Ceiling-Fan-with-Light-with-Remote-Control-F844-DK/205376744,2024-07-11
52,53,Top Rated,Home Decorators Collection,Windara 22 in. LED Indoor/Covered Outdoor Brushed Nickel Ceiling Fan with Light Kit and Remote Control,$189.00,2611,https://www.homedepot.com/p/Home-Decorators-Collection-Windara-22-in-LED-Indoor-Covered-Outdoor-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-and-Remote-Control-SFL-550L1/314253818,2024-07-11
